TARGET_INFO_RESISTS	Dayanıklılık:
TARGET_INFO_RESISTS_LINE0	Kılıç: %d%% Çiftel: %d%% Çan: %d%%
TARGET_INFO_RESISTS_LINE1	Bıçak: %d%% Yelpaze: %d%% Yay: %d%%
TARGET_INFO_REGEN_INFO	Can yenileme %d%%, her %d san.
TARGET_INFO_GOLD_MIN_MAX	Yang: %s ~ %s
TARGET_INFO_NEWRACE_INSECT	Böcek
TARGET_INFO_NEWRACE_FIRE	Ateş
TARGET_INFO_NEWRACE_ICE	Buz
TARGET_INFO_NEWRACE_DESERT	Çöl
TARGET_INFO_NEWRACE_TREE	Ağaç
TARGET_INFO_DAMAGE	Hasar : %s - %s
TARGET_INFO_DEFENSE	Defans : %s
TARGET_INFO_EXP	Tecrübe : %s
TARGET_INFO_MAINRACE	Irk : %s
TARGET_INFO_MAX_HP	Can: %s
TARGET_INFO_NO_ITEM_TEXT	Düşürebilecek eşya yok. 
TARGET_INFO_NO_RACE	Belirsiz
TARGET_INFO_RACE_METIN	Metin
TARGET_INFO_RACE_ANIMAL	Hayvan
TARGET_INFO_RACE_DARK	Karanlık 
TARGET_INFO_RACE_DEVIL	Şeytan
TARGET_INFO_RACE_EARTH	Toprak
TARGET_INFO_RACE_ELEC	Yıldırım 
TARGET_INFO_RACE_FIRE	Ateş
TARGET_INFO_RACE_HUMAN	Yarı insan
TARGET_INFO_RACE_ICE	Buz
TARGET_INFO_RACE_MILGYO	Mistik 
TARGET_INFO_RACE_ORC	Ork
TARGET_INFO_RACE_UNDEAD	Ölümsüz
TARGET_INFO_RACE_WIND	Rüzgar
TARGET_INFO_STONE_NAME	Hayalet Taşı
TARGET_INFO_SUBRACE	Tür : %s
